datum_dolaska,total_occupancy
2015-07-01,72.0
2015-07-02,140.0
2015-07-03,190.0
2015-07-04,248.0
2015-07-05,310.0
2015-07-06,343.0
2015-07-07,367.0
2015-07-08,377.0
2015-07-09,404.0
2015-07-10,470.0
2015-07-11,460.0
2015-07-12,465.0
2015-07-13,467.0
2015-07-14,445.0
2015-07-15,460.0
2015-07-16,485.0
2015-07-17,501.0
2015-07-18,460.0
2015-07-19,467.0
2015-07-20,487.0
2015-07-21,454.0
2015-07-22,447.0
2015-07-23,474.0
2015-07-24,505.0
2015-07-25,498.0
2015-07-26,486.0
2015-07-27,487.0
2015-07-28,455.0
2015-07-29,454.0
2015-07-30,489.0
2015-07-31,501.0
2015-08-01,497.0
2015-08-02,487.0
2015-08-03,493.0
2015-08-04,463.0
2015-08-05,448.0
2015-08-06,449.0
2015-08-07,469.0
2015-08-08,476.0
2015-08-09,491.0
2015-08-10,509.0
2015-08-11,481.0
2015-08-12,459.0
2015-08-13,474.0
2015-08-14,497.0
2015-08-15,532.0
2015-08-16,518.0
2015-08-17,492.0
2015-08-18,479.0
2015-08-19,475.0
2015-08-20,489.0
2015-08-21,493.0
2015-08-22,523.0
2015-08-23,519.0
2015-08-24,506.0
2015-08-25,481.0
2015-08-26,472.0
2015-08-27,472.0
2015-08-28,504.0
2015-08-29,511.0
2015-08-30,484.0
2015-08-31,419.0
2015-09-01,451.0
2015-09-02,468.0
2015-09-03,490.0
2015-09-04,458.0
2015-09-05,430.0
2015-09-06,467.0
2015-09-07,452.0
2015-09-08,419.0
2015-09-09,429.0
2015-09-10,432.0
2015-09-11,437.0
2015-09-12,458.0
2015-09-13,415.0
2015-09-14,429.0
2015-09-15,401.0
2015-09-16,458.0
2015-09-17,450.0
2015-09-18,409.0
2015-09-19,458.0
2015-09-20,402.0
2015-09-21,452.0
2015-09-22,390.0
2015-09-23,434.0
2015-09-24,415.0
2015-09-25,420.0
2015-09-26,408.0
2015-09-27,404.0
2015-09-28,415.0
2015-09-29,401.0
2015-09-30,428.0
2015-10-01,427.0
2015-10-02,401.0
2015-10-03,410.0
2015-10-04,399.0
2015-10-05,396.0
2015-10-06,424.0
2015-10-07,408.0
2015-10-08,437.0
2015-10-09,431.0
2015-10-10,440.0
2015-10-11,447.0
2015-10-12,449.0
2015-10-13,336.0
2015-10-14,307.0
2015-10-15,424.0
2015-10-16,374.0
2015-10-17,360.0
2015-10-18,430.0
2015-10-19,468.0
2015-10-20,344.0
2015-10-21,389.0
2015-10-22,401.0
2015-10-23,414.0
2015-10-24,396.0
2015-10-25,348.0
2015-10-26,279.0
2015-10-27,258.0
2015-10-28,246.0
2015-10-29,233.0
2015-10-30,232.0
2015-10-31,283.0
2015-11-01,267.0
2015-11-02,196.0
2015-11-03,209.0
2015-11-04,204.0
2015-11-05,209.0
2015-11-06,225.0
2015-11-07,285.0
2015-11-08,275.0
2015-11-09,256.0
2015-11-10,255.0
2015-11-11,266.0
2015-11-12,286.0
2015-11-13,292.0
2015-11-14,292.0
2015-11-15,275.0
2015-11-16,159.0
2015-11-17,166.0
2015-11-18,229.0
2015-11-19,244.0
2015-11-20,290.0
2015-11-21,406.0
2015-11-23,217.0
2015-11-24,221.0
2015-11-25,159.0
2015-11-26,151.0
2015-11-27,197.0
2015-11-28,237.0
2015-11-30,118.0
2015-12-01,121.0
2015-12-02,148.0
2015-12-03,169.0
2015-12-04,165.0
2015-12-05,342.0
2015-12-06,359.0
2015-12-07,351.0
2015-12-08,286.0
2015-12-10,125.0
2015-12-11,100.0
2015-12-12,138.0
2015-12-14,87.0
2015-12-15,94.0
2015-12-17,114.0
2015-12-18,117.0
2015-12-19,158.0
2015-12-20,155.0
2015-12-21,140.0
2015-12-22,202.0
2015-12-23,221.0
2015-12-24,274.0
2015-12-25,296.0
2015-12-26,343.0
2015-12-27,361.0
2015-12-28,332.0
2015-12-29,302.0
2015-12-30,400.0
2015-12-31,411.0
2016-01-01,388.0
2016-01-02,429.0
2016-01-06,157.0
2016-01-08,164.0
2016-01-09,153.0
2016-01-12,151.0
2016-01-13,156.0
2016-01-14,154.0
2016-01-22,126.0
2016-01-25,81.0
2016-01-26,118.0
2016-01-29,166.0
2016-02-01,106.0
2016-02-03,147.0
2016-02-05,239.0
2016-02-06,352.0
2016-02-08,334.0
2016-02-09,341.0
2016-02-10,226.0
2016-02-11,209.0
2016-02-12,305.0
2016-02-13,395.0
2016-02-14,414.0
2016-02-15,252.0
2016-02-16,218.0
2016-02-17,249.0
2016-02-19,219.0
2016-02-20,231.0
2016-02-22,164.0
2016-02-25,236.0
2016-02-26,289.0
2016-02-27,416.0
2016-03-02,251.0
2016-03-03,250.0
2016-03-07,235.0
2016-03-08,275.0
2016-03-13,352.0
2016-03-15,293.0
2016-03-16,310.0
2016-03-17,358.0
2016-03-18,364.0
2016-03-19,411.0
2016-03-20,435.0
2016-03-21,426.0
2016-03-22,440.0
2016-03-23,422.0
2016-03-24,541.0
2016-03-25,458.0
2016-03-28,333.0
2016-03-29,308.0
2016-03-30,344.0
2016-03-31,438.0
2016-04-01,373.0
2016-04-02,365.0
2016-04-03,370.0
2016-04-04,396.0
2016-04-05,308.0
2016-04-08,371.0
2016-04-10,387.0
2016-04-11,341.0
2016-04-12,344.0
2016-04-16,386.0
2016-04-17,342.0
2016-04-18,375.0
2016-04-19,355.0
2016-04-21,309.0
2016-04-22,380.0
2016-04-23,428.0
2016-04-24,423.0
2016-04-26,343.0
2016-04-27,338.0
2016-04-28,381.0
2016-04-30,466.0
2016-05-01,393.0
2016-05-02,484.0
2016-05-03,395.0
2016-05-04,408.0
2016-05-05,410.0
2016-05-06,404.0
2016-05-07,423.0
2016-05-08,422.0
2016-05-09,397.0
2016-05-10,391.0
2016-05-11,373.0
2016-05-12,491.0
2016-05-13,387.0
2016-05-14,452.0
2016-05-15,460.0
2016-05-16,457.0
2016-05-17,401.0
2016-05-18,423.0
2016-05-19,451.0
2016-05-20,424.0
2016-05-21,423.0
2016-05-22,444.0
2016-05-23,404.0
2016-05-24,431.0
2016-05-25,443.0
2016-05-26,483.0
2016-05-27,385.0
2016-05-28,384.0
2016-05-29,400.0
2016-05-30,440.0
2016-05-31,379.0
2016-06-01,424.0
2016-06-02,456.0
2016-06-03,433.0
2016-06-04,429.0
2016-06-06,432.0
2016-06-07,411.0
2016-06-08,407.0
2016-06-09,426.0
2016-06-10,432.0
2016-06-11,451.0
2016-06-12,455.0
2016-06-13,414.0
2016-06-14,399.0
2016-06-15,433.0
2016-06-16,427.0
2016-06-17,437.0
2016-06-18,450.0
2016-06-19,412.0
2016-06-20,419.0
2016-06-21,452.0
2016-06-22,443.0
2016-06-23,446.0
2016-06-24,402.0
2016-06-25,470.0
2016-06-26,467.0
2016-06-27,436.0
2016-06-28,434.0
2016-06-29,400.0
2016-07-01,426.0
2016-07-02,465.0
2016-07-03,439.0
2016-07-04,446.0
2016-07-05,462.0
2016-07-06,436.0
2016-07-07,452.0
2016-07-08,440.0
2016-07-09,466.0
2016-07-10,452.0
2016-07-11,463.0
2016-07-12,451.0
2016-07-13,443.0
2016-07-14,474.0
2016-07-18,512.0
2016-07-20,445.0
2016-07-21,485.0
2016-07-24,506.0
2016-07-25,508.0
2016-07-27,468.0
2016-07-28,489.0
2016-07-29,470.0
2016-07-30,517.0
2016-08-01,531.0
2016-08-02,490.0
2016-08-08,528.0
2016-08-09,468.0
2016-08-10,484.0
2016-08-12,505.0
2016-08-15,538.0
2016-08-18,528.0
2016-08-19,497.0
2016-08-21,513.0
2016-08-23,514.0
2016-08-24,497.0
2016-08-26,525.0
2016-08-27,533.0
2016-08-29,501.0
2016-08-30,461.0
2016-08-31,451.0
2016-09-01,463.0
2016-09-02,462.0
2016-09-03,463.0
2016-09-04,437.0
2016-09-05,475.0
2016-09-06,430.0
2016-09-07,421.0
2016-09-08,436.0
2016-09-09,465.0
2016-09-10,466.0
2016-09-11,453.0
2016-09-12,462.0
2016-09-13,442.0
2016-09-14,438.0
2016-09-15,495.0
2016-09-16,407.0
2016-09-18,476.0
2016-09-19,459.0
2016-09-20,455.0
2016-09-21,457.0
2016-09-23,427.0
2016-09-25,426.0
2016-09-26,453.0
2016-09-27,415.0
2016-09-29,429.0
2016-10-03,417.0
2016-10-06,517.0
2016-10-07,380.0
2016-10-08,401.0
2016-10-09,480.0
2016-10-10,403.0
2016-10-11,386.0
2016-10-12,428.0
2016-10-13,354.0
2016-10-14,352.0
2016-10-16,434.0
