datum_dolaska,total_occupancy
2015-07-06,343.0
2015-07-13,467.0
2015-07-20,487.0
2015-07-27,487.0
2015-08-03,493.0
2015-08-10,509.0
2015-08-17,492.0
2015-08-24,506.0
2015-08-31,419.0
2015-09-07,452.0
2015-09-14,429.0
2015-09-21,452.0
2015-09-28,415.0
2015-10-05,396.0
2015-10-12,449.0
2015-10-19,468.0
2015-10-26,279.0
2015-11-02,196.0
2015-11-09,256.0
2015-11-16,159.0
2015-11-23,217.0
2015-11-30,118.0
2015-12-07,351.0
2015-12-14,87.0
2015-12-21,140.0
2015-12-28,332.0
2016-01-25,81.0
2016-02-01,106.0
2016-02-08,334.0
2016-02-15,252.0
2016-02-22,164.0
2016-03-07,235.0
2016-03-21,426.0
2016-03-28,333.0
2016-04-04,396.0
2016-04-11,341.0
2016-04-18,375.0
2016-05-02,484.0
2016-05-09,397.0
2016-05-16,457.0
2016-05-23,404.0
2016-05-30,440.0
2016-06-06,432.0
2016-06-13,414.0
2016-06-20,419.0
2016-06-27,436.0
2016-07-04,446.0
2016-07-11,463.0
2016-07-18,512.0
2016-07-25,508.0
2016-08-01,531.0
2016-08-08,528.0
2016-08-15,538.0
2016-08-29,501.0
2016-09-05,475.0
2016-09-12,462.0
2016-09-19,459.0
2016-09-26,453.0
2016-10-03,417.0
2016-10-10,403.0
2017-05-15,424.0
2016-01-18,115.0
2017-02-20,370.0
2016-11-14,334.0
2016-10-24,458.0
2017-06-05,392.0
2016-11-07,351.0
2017-03-13,322.0
2017-04-17,401.0
2017-01-16,222.0
2017-07-24,513.0
2017-06-19,414.0
2017-01-23,203.0
2017-02-13,311.0
2017-06-12,412.0
2017-05-08,385.0
2016-10-31,458.0
2017-01-09,186.0
2016-04-25,414.0
2016-10-17,406.0
2016-02-29,368.0
2016-11-28,166.0
2016-01-11,147.0
2016-12-05,226.0
2016-12-19,177.0
2016-12-12,138.0
2016-03-14,247.0
2017-04-03,354.0
2017-01-30,281.0
2017-07-17,476.0
2017-05-22,426.0
2017-08-21,528.0
2017-07-03,456.0
2016-01-04,192.0
2017-03-06,358.0
2017-02-06,258.0
2017-07-10,506.0
2017-04-24,332.0
2016-11-21,305.0
2017-03-20,329.0
2017-05-29,453.0
2017-08-07,541.0
2017-01-02,325.0
2017-06-26,454.0
2017-03-27,291.0
2017-05-01,439.0
2017-04-10,395.0
2017-02-27,460.0
2016-08-22,560.0
2017-08-14,492.0
2016-12-26,359.0
2017-08-28,516.0
2017-07-31,497.0
