datum_dolaska,total_occupancy
2015-11-30,241.0
2015-07-31,34.0
2015-05-31,95.0
2015-08-31,116.0
2015-01-31,9.0
2015-10-31,249.0
2015-09-30,343.0
2015-12-31,617.0
2016-01-31,408.0
2016-02-29,289.0
2016-06-30,497.0
2016-08-31,394.0
2016-03-31,163.0
2016-04-30,196.0
2016-12-31,1161.0
2016-10-31,611.0
2016-09-30,575.0
2016-11-30,599.0
2017-01-31,411.0
2016-07-31,459.0
2017-05-31,253.0
2017-07-31,482.0
2017-02-28,485.0
2017-12-31,476.0
2016-05-31,282.0
2017-08-31,358.0
2017-06-30,489.0
2017-03-31,194.0
2017-11-30,255.0
2017-04-30,215.0
2017-10-31,314.0
