,index,hotel_id,datum_dolaska,datum_odjave,kanal_prodaje_id,tip_sobe_id,cijena_nocenja,rezervacija_id,gost_id,zemlja_gosta_mapped,broj_gostiju
0,0,0,2015-07-01,2015-07-01,0,0,100.0,1313223,1077152,0,2.0
1,1,0,2015-07-01,2015-07-01,0,0,100.0,1313224,1017906,0,2.0
2,2,0,2015-07-01,2015-07-02,0,1,64.99134524710365,1313225,1039896,1,1.0
3,3,0,2015-07-01,2015-07-02,1,1,74.36889708214325,1313226,1008245,1,1.0
4,4,0,2015-07-01,2015-07-03,2,1,130.97327834472796,1313227,1093703,1,2.0
5,5,0,2015-07-01,2015-07-03,2,1,143.30455994633178,1313228,1044263,1,2.0
6,6,0,2015-07-01,2015-07-03,0,0,161.50281352191615,1313229,1022260,0,2.0
7,7,0,2015-07-01,2015-07-03,0,0,151.17654224195587,1313230,1101557,0,2.0
8,11,0,2015-07-01,2015-07-05,2,2,215.19742244479644,1313234,1094841,0,2.0
9,12,0,2015-07-01,2015-07-05,2,2,63.46167178354095,1313235,1025429,2,2.0
10,13,0,2015-07-01,2015-07-05,2,4,130.67125675117188,1313236,1071898,3,3.0
11,14,0,2015-07-01,2015-07-05,2,3,86.26447258200501,1313237,1026131,0,2.0
12,15,0,2015-07-01,2015-07-05,2,2,196.89006399784932,1313238,1077528,4,2.0
13,16,0,2015-07-01,2015-07-05,2,3,137.18283247246484,1313239,1064658,0,2.0
14,17,0,2015-07-01,2015-07-02,2,1,83.70456393784032,1313240,1027086,4,2.0
15,18,0,2015-07-01,2015-07-02,1,1,114.0053939089819,1313241,1057642,5,2.0
16,19,0,2015-07-01,2015-07-05,0,4,116.2002238167711,1313242,1048742,1,2.0
17,20,0,2015-07-01,2015-07-06,2,5,93.99461276236681,1313243,1062925,1,1.0
18,21,0,2015-07-01,2015-07-07,0,1,104.53089102558417,1313244,1051857,0,2.0
19,22,0,2015-07-01,2015-07-07,0,1,86.89459213423349,1313245,1036891,0,2.0
20,23,0,2015-07-01,2015-07-07,0,2,127.78673061365552,1313246,1016401,0,2.0
21,24,0,2015-07-01,2015-07-08,2,2,111.48362562854666,1313247,1102816,1,2.0
22,25,0,2015-07-01,2015-07-08,2,2,64.13966677008095,1313248,1000168,0,2.0
23,26,0,2015-07-01,2015-07-08,2,2,132.01338367121298,1313249,1060062,4,2.0
24,28,0,2015-07-01,2015-07-08,2,1,83.8935057820811,1313251,1084767,0,2.0
25,29,0,2015-07-01,2015-07-08,2,2,98.56776171359184,1313252,1066412,0,2.0
26,30,0,2015-07-01,2015-07-15,0,1,108.77747138523473,1313253,1025267,6,1.0
27,31,0,2015-07-01,2015-07-16,2,2,93.9995907558996,1313254,1053751,1,2.0
28,33,0,2015-07-02,2015-07-08,2,1,65.17644776832536,1313256,1088968,4,2.0
29,36,0,2015-07-02,2015-07-06,2,1,161.1611149783398,1313259,1063772,3,2.0
30,37,0,2015-07-02,2015-07-06,2,2,173.07297606071847,1313260,1027277,0,3.0
31,39,0,2015-07-02,2015-07-07,0,3,243.4957877325951,1313262,1010885,7,2.0
32,41,0,2015-07-02,2015-07-07,2,2,88.60259549254044,1313264,1010282,4,2.0
33,42,0,2015-07-02,2015-07-07,0,5,178.5261061738994,1313265,1078603,3,2.0
34,43,0,2015-07-02,2015-07-07,0,3,143.82985222943967,1313266,1072411,7,2.0
35,44,0,2015-07-02,2015-07-09,2,1,113.19378377602128,1313267,1106162,0,2.0
36,46,0,2015-07-02,2015-07-09,2,1,115.26427713830904,1313269,1049299,3,2.0
37,47,0,2015-07-02,2015-07-09,2,3,59.13028477847465,1313270,1001541,8,2.0
38,48,0,2015-07-02,2015-07-09,2,1,78.73860137506078,1313271,1096697,1,2.0
39,49,0,2015-07-02,2015-07-09,2,3,162.84454885688982,1313272,1101631,4,2.0
